person	organization	position	notes	g_e
Fesharaki / Fereidun	Council on Foreign Relations			
Fessenden / Hart	Council on Foreign Relations			
Fetter / Steve	Council on Foreign Relations			
Fick / Nathaniel C.	Council on Foreign Relations			
Fiedler / Jeffrey L.	Council on Foreign Relations			
Fields / Bertram H.	Council on Foreign Relations			
Fields / Craig I.	Council on Foreign Relations			
Fife / Eugene V.	Council on Foreign Relations			m-W
Filippelli / Guy Louis	Council on Foreign Relations			
Filippone / Robert J.	Council on Foreign Relations			
Findakly / Hani K.	Council on Foreign Relations			
Finder / Joseph Alan	Council on Foreign Relations			
Findlay / D. Cameron	Council on Foreign Relations			
Finelli / Francis A.	Council on Foreign Relations			
Finer / Jonathan J.	Council on Foreign Relations			
Fink / Laurence D.	Council on Foreign Relations			m-W
Fink / Sheri L.	Council on Foreign Relations			
Finkelstein / Lawrence S.	Council on Foreign Relations			
Finn / Edwin A. Jr.	Council on Foreign Relations			
Finnemore / Martha	Council on Foreign Relations			
Finney / Paul B.	Council on Foreign Relations			
Fino / Steven	Council on Foreign Relations			
Finucane / Anne M.	Council on Foreign Relations			
Fionda / Kenneth Quinn	Council on Foreign Relations			
Firestone / Charles M.	Council on Foreign Relations			
Fisch / Jacob	Council on Foreign Relations			
Fisch / Mark	Council on Foreign Relations			
Fischer / Betsy	Council on Foreign Relations			
Fischer / Stanley	Council on Foreign Relations			
Fisher / Drosten Andrew	Council on Foreign Relations			
Fisher / Julie Ann	Council on Foreign Relations			
Fisher / Peter R.	Council on Foreign Relations			
Fisher / Richard W.	Council on Foreign Relations			
Fisher / Roger D.	Council on Foreign Relations			
Fishlow / Albert	Council on Foreign Relations			
Fisk / Daniel W.	Council on Foreign Relations			
Fitchett / Mercedes Carmela	Council on Foreign Relations			
Fitts / Sarah A. W.	Council on Foreign Relations			
Fitz-Pegado / Lauri J.	Council on Foreign Relations			
FitzGerald / Frances	Council on Foreign Relations			
Fitzgibbons / Harold E.	Council on Foreign Relations			
Fitzgibbons / John B.	Council on Foreign Relations			
Flaherty / Martin S.	Council on Foreign Relations			
Flaherty / Pamela P.	Council on Foreign Relations			
Flaherty / Peter A.	Council on Foreign Relations			
Flanagan / Stephen J.	Council on Foreign Relations			
Fleischmann / Alan H.	Council on Foreign Relations			
Fleming / Gregory James	Council on Foreign Relations			
Fletcher / Denise K.	Council on Foreign Relations			f-W
Fletcher / Phillip Douglas	Council on Foreign Relations			
Flournoy / Michèle A.	Council on Foreign Relations			
Fly / Jamie M.	Council on Foreign Relations			
Flynn / Carol	Council on Foreign Relations			
Flynn / George J.	Council on Foreign Relations			
Flynn / Mary Laurence	Council on Foreign Relations			
Flynn / Stephen E.	Council on Foreign Relations			
Fn'Piere / Patrick John	Council on Foreign Relations			
Foggo / James G. III	Council on Foreign Relations			
Fogleman / Ronald R.	Council on Foreign Relations			m-W
Foley / S. Robert Jr.	Council on Foreign Relations			
Foley / Thomas C.	Council on Foreign Relations			
Foley / Thomas S.	Council on Foreign Relations			
Folsom / George A.	Council on Foreign Relations			
Fontaine / Richard H. Jr.	Council on Foreign Relations			
Foote / Edward T. II	Council on Foreign Relations			
Foote / William Fulbright	Council on Foreign Relations			
Forbes / Kristin J.	Council on Foreign Relations			
Ford / Celeste V.	Council on Foreign Relations			
Ford / Harold E. Jr.	Council on Foreign Relations			
Ford / Katie	Council on Foreign Relations			
Ford / Paul B. Jr.	Council on Foreign Relations			
Fore / Henrietta Holsman	Council on Foreign Relations			
Forgacs / Andras	Council on Foreign Relations			
Forman / Shepard L.	Council on Foreign Relations			
Foroohar / Rana A.	Council on Foreign Relations			
Forsythe / Rosemarie	Council on Foreign Relations			
Fosler / Gail D.	Council on Foreign Relations			f-W
Foss / Michelle Michot	Council on Foreign Relations			
Foster / Badi Garrett	Council on Foreign Relations			
Foster / Brenda Lei	Council on Foreign Relations			
Foster / Charles C.	Council on Foreign Relations			
Foster / Kathleen Aldworth	Council on Foreign Relations			
Foster / Richard N.	Council on Foreign Relations			
Fourquet / José A.	Council on Foreign Relations			
Fowler / Jeffrey L.	Council on Foreign Relations			
Fowler / Wyche Jr.	Council on Foreign Relations			
Fox / Christine H.	Council on Foreign Relations			
Fox / Daniel M.	Council on Foreign Relations			
Fox / Donald T.	Council on Foreign Relations			
Fox / Eleanor M.	Council on Foreign Relations			
Fox / Merritt Baker	Council on Foreign Relations			
Fox / Nicole Davison	Council on Foreign Relations			
Foxman / Abraham H.	Council on Foreign Relations			
Fraga Neto / Arminio	Council on Foreign Relations			
Francke / Albert	Council on Foreign Relations			
Frank / Andrew D.	Council on Foreign Relations			
Frank / Charles R. Jr.	Council on Foreign Relations			
Frank / Richard A.	Council on Foreign Relations			
Frankel / Adam Bynoe	Council on Foreign Relations			
Frankel / Francine R.	Council on Foreign Relations			
Frankel / Jeffrey A.	Council on Foreign Relations			
Franklin / Barbara Hackman	Council on Foreign Relations			f-W
Franklin / Robert M.	Council on Foreign Relations			
Franklin / Shirley Clarke	Council on Foreign Relations			
Franklin / William Emery	Council on Foreign Relations			
Fraser / Jane	Council on Foreign Relations			
Frazer / Jendayi E.	Council on Foreign Relations			
Frazier / Kenneth C.	Council on Foreign Relations			m-B
Fredman / Jonathan M.	Council on Foreign Relations			
Freedman / Alix M.	Council on Foreign Relations			
Freedman / Michael	Council on Foreign Relations			
Freeman / Bennett	Council on Foreign Relations			
Freeman / Constance J.	Council on Foreign Relations			
Freidheim / Cyrus F.	Council on Foreign Relations			
Freidheim / Scott J.	Council on Foreign Relations			
Freidheim / Stephen C.	Council on Foreign Relations			
Freire / Maria C.	Council on Foreign Relations			
Freyer / Dana H.	Council on Foreign Relations			
Fribourg / Paul J.	Council on Foreign Relations			m-W
Friedberg / Aaron Louis	Council on Foreign Relations			
Friedberg / Barry S.	Council on Foreign Relations			
Friedman / Alexander Stephen	Council on Foreign Relations			
Friedman / Andrea	Council on Foreign Relations			
Friedman / Bart	Council on Foreign Relations			
Friedman / Benjamin M.	Council on Foreign Relations			
Friedman / Fredrica S.	Council on Foreign Relations			
Friedman / Jordana D.	Council on Foreign Relations			
Friedman / Thomas L.	Council on Foreign Relations			
Frieman / Wendy	Council on Foreign Relations			
Friend / Theodore W.	Council on Foreign Relations			
Frist / William H.	Council on Foreign Relations			m-W
Fritz / Oliver III	Council on Foreign Relations			
Froman / Michael B. G.	Council on Foreign Relations			
Fromkin / David	Council on Foreign Relations			
Frost / Ellen L.	Council on Foreign Relations			
Frumin / Amy	Council on Foreign Relations			
Fry / Earl H.	Council on Foreign Relations			
Frye / Alton	Council on Foreign Relations			
Frye / Timothy Michael	Council on Foreign Relations			
Fukushima / Glen S.	Council on Foreign Relations			
Fukuyama / Francis	Council on Foreign Relations			
Fulgham / Alonzo L.	Council on Foreign Relations			
Fuller / William P.	Council on Foreign Relations			
Fulton / Laurie S.	Council on Foreign Relations			
Fung / Mark T.	Council on Foreign Relations			
Fung / Victor K.	Council on Foreign Relations			
Furlaud / Richard Mortimer	Council on Foreign Relations			
Furman / Gail	Council on Foreign Relations			
Fusco / Bradley	Council on Foreign Relations			
Futter / Ellen V.	Council on Foreign Relations			f-W
Gacek / Stanley Arthur	Council on Foreign Relations			
Gaddis / John Lewis	Council on Foreign Relations			
Gadiesh / Orit B.	Council on Foreign Relations			
Gaer / Felice D.	Council on Foreign Relations			
Gaghan / Stephen W.	Council on Foreign Relations			
Gaines / James R.	Council on Foreign Relations			
Gaither / Kendra	Council on Foreign Relations			
Galbraith / James K.	Council on Foreign Relations			
Galbraith / Peter W.	Council on Foreign Relations			
Gallagher / Kelly Sims	Council on Foreign Relations			
Gallo / Alexander Michael	Council on Foreign Relations			
Gallucci / Robert L.	Council on Foreign Relations			
Galvis / Sergio J.	Council on Foreign Relations			
Ganguly / Sumit	Council on Foreign Relations			
Gannon / John C.	Council on Foreign Relations			
Ganoe / Charles S.	Council on Foreign Relations			
Gans / Lisa M.	Council on Foreign Relations			
Garber / Larry A.	Council on Foreign Relations			
Garcia / Juan M. III	Council on Foreign Relations			
Garcia / Marlen	Council on Foreign Relations			
Gard / Robert G. Jr.	Council on Foreign Relations			
Gardels / Nathan P.	Council on Foreign Relations			
Gardner / Anthony Luzzatto	Council on Foreign Relations			
Gardner / James A.	Council on Foreign Relations			
Gardner / Nina Luzzatto	Council on Foreign Relations			
Gardner / Richard N.	Council on Foreign Relations			
Garment / Suzanne R.	Council on Foreign Relations			
Garnett / Sherman	Council on Foreign Relations			
Garrett / Geoffrey M.	Council on Foreign Relations			
Garrett / Laurie	Council on Foreign Relations			
Garten / Jeffrey E.	Council on Foreign Relations			m-W
Garwin / Richard L.	Council on Foreign Relations			
Garza / Antonio Oscar Jr.	Council on Foreign Relations			
Gates / Henry Louis Jr.	Council on Foreign Relations			
Gates / Robert M.	Council on Foreign Relations			
Gati / Charles	Council on Foreign Relations			
Gati / Toby Trister	Council on Foreign Relations			
Gaudiani / Claire L.	Council on Foreign Relations			
Gause / F. Gregory III	Council on Foreign Relations			
Gavin / Francis J.	Council on Foreign Relations			
Gavrilis / James A.	Council on Foreign Relations			
Gay / Catherine	Council on Foreign Relations			
Gayle / Helene D.	Council on Foreign Relations			f-B
Gedmin / V. Jeffrey	Council on Foreign Relations			
Geier / Philip O.	Council on Foreign Relations			
Geithner / Peter F.	Council on Foreign Relations			
Geithner / Timothy F.	Council on Foreign Relations			
Gelb / Bruce S.	Council on Foreign Relations			
Gelb / Leslie H.	Council on Foreign Relations			
Gell-Mann / Murray	Council on Foreign Relations			
Gellert / Michael E.	Council on Foreign Relations			
Gellman / Barton	Council on Foreign Relations			
Gelpern / Anna	Council on Foreign Relations			
George / Robert P.	Council on Foreign Relations			
Georgescu / Peter Andrew	Council on Foreign Relations			
Gephardt / Richard A.	Council on Foreign Relations			m-W
Gerber / Burton L.	Council on Foreign Relations			
Gerber / Louis	Council on Foreign Relations			
Gergen / David R.	Council on Foreign Relations			
Gerhart / Gail M.	Council on Foreign Relations			
Germain / Adrienne	Council on Foreign Relations			
Gerschel / Patrick A.	Council on Foreign Relations			
Gerson / Allan	Council on Foreign Relations			
Gerson / Elliot F.	Council on Foreign Relations			
Gerson / Ralph J.	Council on Foreign Relations			
Gerstein / Daniel M.	Council on Foreign Relations			
Gerstell / Glenn S.	Council on Foreign Relations			
Gerstner / Louis V. Jr.	Council on Foreign Relations			
Getler / Michael	Council on Foreign Relations			
Gewirtz / Paul David	Council on Foreign Relations			
Geyer / Georgie Anne	Council on Foreign Relations			
Gfoeller / Joachim Jr.	Council on Foreign Relations			
Gfoeller / Michael	Council on Foreign Relations			
Gfoeller / Tatiana C.	Council on Foreign Relations			
Ghiglione / Loren	Council on Foreign Relations			
Gholz / Charles Eugene	Council on Foreign Relations			
Giacomo / Carol Ann	Council on Foreign Relations			
Giambastiani / Edmund P. Jr.	Council on Foreign Relations			m-W
Gibbs / Reggie Scott	Council on Foreign Relations			
Giffen / James Henry	Council on Foreign Relations			
Giffin / Gordon D.	Council on Foreign Relations			
Gil / Andrés Valerio	Council on Foreign Relations			
Gilbert / G. S. Beckwith	Council on Foreign Relations			
Gilbert / Jackson B.	Council on Foreign Relations			
Gilbert / Steven J.	Council on Foreign Relations			
Gill / Bates	Council on Foreign Relations			
Gillette / Michael James	Council on Foreign Relations			
Gilmore / James S. III	Council on Foreign Relations			
Gilmore / Richard	Council on Foreign Relations			
Gimelli / Noa Catalina	Council on Foreign Relations			
Gingrich / Newton L.	Council on Foreign Relations			
Ginsberg / Gary L.	Council on Foreign Relations			
Ginsberg / Marc Charles	Council on Foreign Relations			
Ginsburg / Jane C.	Council on Foreign Relations			
Ginsburg / Ruth Bader	Council on Foreign Relations			
Girald / Catalina	Council on Foreign Relations			
Givhan / Walter D.	Council on Foreign Relations			
Gjelten / Thomas G.	Council on Foreign Relations			
Glaser / Bonnie S.	Council on Foreign Relations			
Glauber / Robert R.	Council on Foreign Relations			m-W
Glennon / Michael J.	Council on Foreign Relations			
Gleysteen / Peter	Council on Foreign Relations			
Glickman / Daniel R.	Council on Foreign Relations			
Glin / C. D. Jr.	Council on Foreign Relations			
Globerman / Norma	Council on Foreign Relations			
Gluck / Carol	Council on Foreign Relations			
Gluck / Frederick W.	Council on Foreign Relations			m-W
Godwin / Peter	Council on Foreign Relations			
Goel / Anish	Council on Foreign Relations			
Goeltz / Richard Karl	Council on Foreign Relations			
Goins / Charlynn	Council on Foreign Relations			f-B
Goldberg / Nicholas	Council on Foreign Relations			
Goldberg / Ronnie L.	Council on Foreign Relations			
Golden / James R.	Council on Foreign Relations			
Golden / Jennifer E.	Council on Foreign Relations			
Goldfield / Harold P.	Council on Foreign Relations			
Goldfield / Jacob D.	Council on Foreign Relations			
Goldgeier / James M.	Council on Foreign Relations			
Goldin / Harrison J.	Council on Foreign Relations			
Goldman / Charles N.	Council on Foreign Relations			
Goldman / Guido	Council on Foreign Relations			
Goldman / Marshall I.	Council on Foreign Relations			
Goldman / Merle D.	Council on Foreign Relations			
Goldman / Neal D.	Council on Foreign Relations			
Goldmark / Peter C. Jr.	Council on Foreign Relations			
Goldsmith / Barbara	Council on Foreign Relations			
Goldsmith / Jack Landman III	Council on Foreign Relations			
Goldsmith / Russell D.	Council on Foreign Relations			
Goldstein / Gordon M.	Council on Foreign Relations			
Goldstein / Jeffrey A.	Council on Foreign Relations			
Goldstein / Morris	Council on Foreign Relations			
Goldstone / Jack A.	Council on Foreign Relations			
Goldwyn / David L.	Council on Foreign Relations			
Goldzimer / Aaron M.	Council on Foreign Relations			
Golhar / Shawn P. M.	Council on Foreign Relations			
Golob / Paul D.	Council on Foreign Relations			
Golston / Allan C.	Council on Foreign Relations			m-B
Gomez / Eduardo J.	Council on Foreign Relations			
Gomez / Heidi N.	Council on Foreign Relations			
Gomory / Ralph E.	Council on Foreign Relations			
Gompert / David C.	Council on Foreign Relations			
Gonen / Ron	Council on Foreign Relations			
Gonzalez / Emilio Tomas	Council on Foreign Relations			
Goodman / Allan E.	Council on Foreign Relations			
Goodman / George J. W.	Council on Foreign Relations			
Goodman / Herbert I.	Council on Foreign Relations			
Goodman / John B.	Council on Foreign Relations			
Goodman / Mary Beth	Council on Foreign Relations			
Goodman / Matthew P.	Council on Foreign Relations			
Goodman / Roy M.	Council on Foreign Relations			
Goodman / Ryan	Council on Foreign Relations			
Goodman / Sherri W.	Council on Foreign Relations			
Gordon / John A.	Council on Foreign Relations			
Gordon / Michael R.	Council on Foreign Relations			
Gordon / Philip H.	Council on Foreign Relations			
Gordon-Hagerty / Lisa E.	Council on Foreign Relations			
Gordon-Reed / Annette	Council on Foreign Relations			
Gorelick / Jamie S.	Council on Foreign Relations			f-W
Gorman / Joseph T.	Council on Foreign Relations			m-W
Gorman / Monica J.	Council on Foreign Relations			
Gostin / Lawrence O.	Council on Foreign Relations			
Gotbaum / Victor	Council on Foreign Relations			
Gottdiener / Noah	Council on Foreign Relations			
Gottemoeller / Rose E.	Council on Foreign Relations			
Gottfried / Kurt	Council on Foreign Relations			
Gottlieb / Geoffrey A.	Council on Foreign Relations			
Gottlieb / Gidon A. G.	Council on Foreign Relations			
Gottsegen / Peter M.	Council on Foreign Relations			
Gould / Peter G.	Council on Foreign Relations			
Gourevitch / Peter A.	Council on Foreign Relations			
Gourevitch / Philip D.	Council on Foreign Relations			
Grace / Lola Nashashibi	Council on Foreign Relations			
Grady / Robert E.	Council on Foreign Relations			
Graff / Henry Franklin	Council on Foreign Relations			
Graham / Bob	Council on Foreign Relations			
Graham / Carol Lee	Council on Foreign Relations			
Graham / Thomas Edward	Council on Foreign Relations			
Graham / Thomas Jr.	Council on Foreign Relations			
Graham / Thomas W.	Council on Foreign Relations			
Granger / Kay	Council on Foreign Relations			
Granoff / Michael D.	Council on Foreign Relations			
Grant / Heidi Honecker	Council on Foreign Relations			
Grant / James D.	Council on Foreign Relations			
Graubard / Stephen Richards	Council on Foreign Relations			
Graves / Christopher J.	Council on Foreign Relations			
Gray / C. Boyden	Council on Foreign Relations			
Gray / Hanna Holborn	Council on Foreign Relations			
Greathead / R. Scott	Council on Foreign Relations			
Greco / Richard Jr.	Council on Foreign Relations			
Green / Carl J.	Council on Foreign Relations			
Green / Eric F.	Council on Foreign Relations			
Green / Ernie	Council on Foreign Relations			m-B
Green / Jerrold D.	Council on Foreign Relations			
Green / Mark Andrew	Council on Foreign Relations			
Green / Michael J.	Council on Foreign Relations			
Green / Robert Shane	Council on Foreign Relations			
Greenberg / Arthur N.	Council on Foreign Relations			
Greenberg / David	Council on Foreign Relations			
Greenberg / Evan G.	Council on Foreign Relations			
Greenberg / Glenn H.	Council on Foreign Relations			
Greenberg / Jeffrey W.	Council on Foreign Relations			
Greenberg / Karen J.	Council on Foreign Relations			
Greenberg / Lawrence Scott	Council on Foreign Relations			
Greenberg / Maurice R.	Council on Foreign Relations			
Greenberg / Sanford D.	Council on Foreign Relations			
Greenberger / Robert Stephen	Council on Foreign Relations			
Greene / Robert Lane	Council on Foreign Relations			
Greene / Wade	Council on Foreign Relations			
Greenman / Margot Alyse	Council on Foreign Relations			
Greenspan / Alan	Council on Foreign Relations			
Greenwald / G. Jonathan	Council on Foreign Relations			
Greenway / Hugh D. S.	Council on Foreign Relations			
Gregg / Donald P.	Council on Foreign Relations			
Gregorian / Vartan	Council on Foreign Relations			
Gregson / Wallace C. Jr.	Council on Foreign Relations			
Grenier / Robert L.	Council on Foreign Relations			
Griego / Linda M.	Council on Foreign Relations			f-L
Griffiths / Phillip A.	Council on Foreign Relations			
Grimes / William W.	Council on Foreign Relations			
Grissom / Janet Mullins	Council on Foreign Relations			
Grose / Peter	Council on Foreign Relations			
Gross / Martin J.	Council on Foreign Relations			
Gross / Patrick W.	Council on Foreign Relations			m-W
Grossman / Gene M.	Council on Foreign Relations			
Grossman / Marc	Council on Foreign Relations			
Grove / Paul C.	Council on Foreign Relations			
Groves / Bryan N.	Council on Foreign Relations			
Groves / Ray J.	Council on Foreign Relations			m-W
Gruman / Jessie C.	Council on Foreign Relations			
Gudwin / Ella R.	Council on Foreign Relations			
Guengerich / Galen J.	Council on Foreign Relations			
Guff / Andrew J.	Council on Foreign Relations			
Gugliotta / Brian	Council on Foreign Relations			
Gund / Agnes	Council on Foreign Relations			
Gundlach / Andrew S.	Council on Foreign Relations			
Gupta / Sanjay K.	Council on Foreign Relations			
Gupte / Pranay	Council on Foreign Relations			
Gustafson / Ellen	Council on Foreign Relations			
Gutfreund / John H.	Council on Foreign Relations			
Guth / John H. J.	Council on Foreign Relations			
Gwertzman / Bernard M.	Council on Foreign Relations			
Haas / Mimi L.	Council on Foreign Relations			
Haas / Robert D.	Council on Foreign Relations			
Haave / Christopher E.	Council on Foreign Relations			
Hachigian / Nina L.	Council on Foreign Relations			
Haddad / Yvonne Yazbeck	Council on Foreign Relations			
Haddon / Dayle	Council on Foreign Relations			
Hadley / Stephen J.	Council on Foreign Relations			m-W
Hafner / Joseph A. Jr.	Council on Foreign Relations			m-W
Hagel / Chuck	Council on Foreign Relations			m-W
Hagen / Katherine A.	Council on Foreign Relations			
Haggard / Stephan	Council on Foreign Relations			
Hahn / Natalie D.	Council on Foreign Relations			
Hailston / Earl B.	Council on Foreign Relations			
Hajari / Nisid J.	Council on Foreign Relations			
Hajjar / David Phillip	Council on Foreign Relations			
Hakakian / Roya	Council on Foreign Relations			
Hake / Jim	Council on Foreign Relations			
Hale / David D.	Council on Foreign Relations			
Hale / Lyric Hughes	Council on Foreign Relations			
Hall / C. Barrows	Council on Foreign Relations			
Hall / John P.	Council on Foreign Relations			
Hall / Kathryn Walt	Council on Foreign Relations			
Halper / James D.	Council on Foreign Relations			
Halperin / David R.	Council on Foreign Relations			
Halperin / Morton H.	Council on Foreign Relations			
Haltzel / Michael H.	Council on Foreign Relations			
Hamburg / David A.	Council on Foreign Relations			
Hamburg / Margaret Ann	Council on Foreign Relations			
Hamel / Michael A.	Council on Foreign Relations			
Hamilton / Charles V.	Council on Foreign Relations			
Hamilton / Daniel	Council on Foreign Relations			
Hamilton / Edward K.	Council on Foreign Relations			
Hamilton / Hugh Gerard Jr.	Council on Foreign Relations			
Hamilton / John Maxwell	Council on Foreign Relations			
Hamilton / Lee H.	Council on Foreign Relations			
Hammes / Lynda Ann	Council on Foreign Relations			
Hammonds / D. Holly	Council on Foreign Relations			
Hamre / John J.	Council on Foreign Relations			m-W
Hancock / Ellen M.	Council on Foreign Relations			f-W
Hand / Bailey	Council on Foreign Relations			
Hand / Lloyd N.	Council on Foreign Relations			
Hand / Scott M.	Council on Foreign Relations			
Handelman / Stephen	Council on Foreign Relations			
Handler / Scott	Council on Foreign Relations			
Hanna / Michael Wahid	Council on Foreign Relations			
Hansell / Herbert J.	Council on Foreign Relations			
Hanson / Gordon H.	Council on Foreign Relations			
Hantz / Giselle P.	Council on Foreign Relations			
Hantzopoulos / Paraskeve	Council on Foreign Relations			
Hardin / Edward J.	Council on Foreign Relations			
Hardin / Katherine A.	Council on Foreign Relations			
Harding / Deborah A.	Council on Foreign Relations			
Harding / Harry	Council on Foreign Relations			
Hardt / John P.	Council on Foreign Relations			
Hargrove / John Lawrence	Council on Foreign Relations			
Harlan / Joshua D.	Council on Foreign Relations			
Harland / Christopher Munro	Council on Foreign Relations			
Harley / Jeffrey Allan	Council on Foreign Relations			
Harlow / D. Brooke	Council on Foreign Relations			
Harman / Jane	Council on Foreign Relations			
Harmon / James A.	Council on Foreign Relations			
Harney / Alexandra	Council on Foreign Relations			
Harpel / James W.	Council on Foreign Relations			
Harper / Conrad K.	Council on Foreign Relations			m-B
Harris / David A.	Council on Foreign Relations			
Harris / Grant T.	Council on Foreign Relations			
Harris / Jessica	Council on Foreign Relations			
Harris / Joshua J.	Council on Foreign Relations			
Harris / Martha Caldwell	Council on Foreign Relations			
Harrison / Hope M.	Council on Foreign Relations			
Harrison / Selig S.	Council on Foreign Relations			
Harrison / William B. Jr.	Council on Foreign Relations			m-W
Hart / Clifford Awtrey Jr.	Council on Foreign Relations			
Hart / Gary	Council on Foreign Relations			
Hart / Robert C.	Council on Foreign Relations			
Hart / Todd Christopher	Council on Foreign Relations			
Hartley / Jane D.	Council on Foreign Relations			
Hartman / Arthur A.	Council on Foreign Relations			
Haseltine / William Alan	Council on Foreign Relations			
Hashemi / Noosheen	Council on Foreign Relations			
Haskell / John H. F. Jr.	Council on Foreign Relations			
Hathaway / Oona A.	Council on Foreign Relations			
Hathaway / Robert M.	Council on Foreign Relations			
Hau / Sandor	Council on Foreign Relations			
Hauge / John Resor	Council on Foreign Relations			
Hauser / Rita E.	Council on Foreign Relations			
Hauser / William Locke	Council on Foreign Relations			
Havell / Theresa A.	Council on Foreign Relations			
Hawkins / Ashton	Council on Foreign Relations			
Hawley / F. William	Council on Foreign Relations			
Hayden / Michael V.	Council on Foreign Relations			
Hayes / Jeff W.	Council on Foreign Relations			
Hayes / Margaret Daly	Council on Foreign Relations			
Hayes / Michael Edward	Council on Foreign Relations			
Hayes / Rita Derrick	Council on Foreign Relations			
Haykel / Bernard A.	Council on Foreign Relations			
Haynes / Lukas Harrison	Council on Foreign Relations			
Haynes / Ulric Jr.	Council on Foreign Relations			
Hays / Laurie	Council on Foreign Relations			
Hayward / Thomas B.	Council on Foreign Relations			
Healey / Kerry Murphy	Council on Foreign Relations			
Healey / Sean M.	Council on Foreign Relations			
Heaney / Andrew P.	Council on Foreign Relations			
Heck / Charles B.	Council on Foreign Relations			
Hecker / Siegfried S.	Council on Foreign Relations			
Heckman / Leila	Council on Foreign Relations			
Hedstrom / Mitchell W.	Council on Foreign Relations			
Heep-Richter / Barbara D.	Council on Foreign Relations			
Heer / Paul	Council on Foreign Relations			
Heginbotham / Stanley J.	Council on Foreign Relations			
Hegseth / Pete	Council on Foreign Relations			
Hehir / J. Bryan	Council on Foreign Relations			
Heimann / John G.	Council on Foreign Relations			
Heimbold / Charles A. Jr.	Council on Foreign Relations			
Heimowitz / James B.	Council on Foreign Relations			
Heineman / Benjamin W. Jr.	Council on Foreign Relations			
Heineman / Melvin L.	Council on Foreign Relations			
Heintz / Stephen B.	Council on Foreign Relations			
Heintzen / Harry Leonard	Council on Foreign Relations			
Heinz Kerry / Teresa	Council on Foreign Relations			
Heleniak / David W.	Council on Foreign Relations			
Helfer / Michael Stevens	Council on Foreign Relations			
Helfer / Ricki Tigert	Council on Foreign Relations			
Helfstein / Scott	Council on Foreign Relations			
Helgerson / John L.	Council on Foreign Relations			
Heller / Bridgette P.	Council on Foreign Relations			
Heller / Richard M.	Council on Foreign Relations			
Hellman / Steven E.	Council on Foreign Relations			
Hellmann / Donald Charles	Council on Foreign Relations			
Helm / Robert W.	Council on Foreign Relations			
Helm / Suzanne	Council on Foreign Relations			
Helman / Joseph J.	Council on Foreign Relations			
Helprin / Mark	Council on Foreign Relations			
Helvey / David Farr	Council on Foreign Relations			
Hendricks / Darryll E.	Council on Foreign Relations			
Hendrickson / David C.	Council on Foreign Relations			
Henkin / Alice H.	Council on Foreign Relations			
Henneberg / Tom	Council on Foreign Relations			
Henning / Job Carroll	Council on Foreign Relations			
Henninger / Daniel P.	Council on Foreign Relations			
Henrikson / Alan K.	Council on Foreign Relations			
Henry / Emil W. Jr.	Council on Foreign Relations			
Henry / Nancy L.	Council on Foreign Relations			
Henry / Peter Albert	Council on Foreign Relations			
Henry / Robert H.	Council on Foreign Relations			m-W
Hentov / Elliot	Council on Foreign Relations			
Heppner / Donald Gray Jr.	Council on Foreign Relations			
Herberger / Roy A. Jr.	Council on Foreign Relations			
Herbst / Jeffrey I.	Council on Foreign Relations			
Herman / Laura S.	Council on Foreign Relations			
Hermann / Charles F.	Council on Foreign Relations			
Hernandez / Antonia	Council on Foreign Relations			
Herrera-Flanigan / Jessica Rae	Council on Foreign Relations			
Herrnstadt / Owen Edward	Council on Foreign Relations			
Herskovits / Jean	Council on Foreign Relations			
Hersman / Rebecca K. C.	Council on Foreign Relations			
Herspring / Dale R.	Council on Foreign Relations			
Hertog / Roger	Council on Foreign Relations			
Hertzberg / Hendrik	Council on Foreign Relations			
Hertzberg / Robert M.	Council on Foreign Relations			
Herz / Barbara	Council on Foreign Relations			
Herzfeld / Charles M.	Council on Foreign Relations			
Herzstein / Jessica	Council on Foreign Relations			
Herzstein / Robert E.	Council on Foreign Relations			
Hesburgh / Theodore M.	Council on Foreign Relations			
Hess / John B.	Council on Foreign Relations			m-W
Hess / Marlene	Council on Foreign Relations			
Hessler / Curtis A.	Council on Foreign Relations			
Hessman / Robin	Council on Foreign Relations			
Hewlett / Sylvia Ann	Council on Foreign Relations			
Hexter / James R.	Council on Foreign Relations			
Heyman / Ronnie F.	Council on Foreign Relations			
Heyman / William H.	Council on Foreign Relations			
Hiatt / Fred	Council on Foreign Relations			
Hicks / Irvin	Council on Foreign Relations			
Hicks / John F. Sr.	Council on Foreign Relations			
Hicks / Kathleen Holland	Council on Foreign Relations			
Hicks / Peggy L.	Council on Foreign Relations			
Higginbotham / F. Michael	Council on Foreign Relations			
Higgins / Heather Richardson	Council on Foreign Relations			
Higgins / Robert F.	Council on Foreign Relations			
Hightower / Edward T.	Council on Foreign Relations			
Hill / Fiona	Council on Foreign Relations			
Hill / James T.	Council on Foreign Relations			
Hill / Janine W.	Council on Foreign Relations			
Hill / Joseph C.	Council on Foreign Relations			
Hill / Pamela	Council on Foreign Relations			
Hill / Raymond D.	Council on Foreign Relations			
Hill / Shephard William	Council on Foreign Relations			
Hill / Steven	Council on Foreign Relations			
Hillen / John	Council on Foreign Relations			
Hillman / Jennifer	Council on Foreign Relations			
Hinderstein / Corey	Council on Foreign Relations			
Hindery / Leo J. Jr.	Council on Foreign Relations			
Hinerfeld / Ruth	Council on Foreign Relations			
Hines / Rachel	Council on Foreign Relations			
Hinton / Deane R.	Council on Foreign Relations			
